Flight;Turn;Aircraft;Frequency;Passengers (7.35829e+06)
SBGLSBGO;QUI3;A220-100;1;102
SBGRSBGO;QUI3;A220-100;1;115
SBKPSBGO;QUI3;A220-100;1;105
SBPASBGO;QUI3;A220-100;1;98
SBPJSBGO;QUI3;A220-100;1;84
SBRJSBGO;QUI3;A220-100;1;86
SBSPSBGO;QUI3;A220-100;1;115
SBGOSBCF;SEX1;A220-100;1;65
SBGOSBCT;SEX1;A220-100;1;81
SBGOSBGL;SEX1;A220-100;1;103
SBGOSBGR;SEX1;A220-100;1;113
SBGOSBKP;SEX1;A220-100;1;105
SBGOSBPA;SEX1;A220-100;1;97
SBGOSBPJ;SEX1;A220-100;1;81
SBGOSBRJ;SEX1;A220-100;1;87
SBGOSBSP;SEX1;A220-100;1;115
SBCFSBGO;SEX1;A220-100;1;65
SBGRSBGO;SEX1;A220-100;1;14
SBGRSBGO;SEX1;A220-100;1;115
SBRJSBGO;SEX1;A220-100;1;87
SBSPSBGO;SEX1;A220-100;1;115
SBGOSBGR;SEX2;A220-100;1;115
SBGOSBSP;SEX2;A220-100;1;115
SBGRSBGO;SEX2;A220-100;1;16
SBGRSBGO;SEX2;A220-100;1;115
SBSPSBGO;SEX2;A220-100;1;115
SBGOSBCF;SEX3;A220-100;1;66
SBGOSBGR;SEX3;A220-100;1;115
SBGOSBRJ;SEX3;A220-100;1;87
SBGOSBSP;SEX3;A220-100;1;115
SBCFSBGO;SEX3;A220-100;1;58
SBCTSBGO;SEX3;A220-100;1;80
SBCYSBGO;SEX3;A220-100;1;86
SBGLSBGO;SEX3;A220-100;1;36
SBGLSBGO;SEX3;A220-100;1;67
SBGRSBGO;SEX3;A220-100;1;115
SBKPSBGO;SEX3;A220-100;1;105
SBPASBGO;SEX3;A220-100;1;98
SBPJSBGO;SEX3;A220-100;1;84
SBRJSBGO;SEX3;A220-100;1;84
SBSPSBGO;SEX3;A220-100;1;115
SBGOSBCF;SAB1;A220-100;1;66
SBGOSBCT;SAB1;A220-100;1;81
SBGOSBCY;SAB1;A220-100;1;85
SBGOSBGL;SAB1;A220-100;1;103
SBGOSBGR;SAB1;A220-100;1;115
SBGOSBKP;SAB1;A220-100;1;104
SBGOSBPA;SAB1;A220-100;1;98
SBGOSBPJ;SAB1;A220-100;1;71
SBGOSBRJ;SAB1;A220-100;1;87
SBGOSBSP;SAB1;A220-100;1;115
SBCFSBGO;SAB1;A220-100;1;24
SBCFSBGO;SAB1;A220-100;1;41
SBGRSBGO;SAB1;A220-100;1;40
SBGRSBGO;SAB1;A220-100;1;94
SBRJSBGO;SAB1;A220-100;1;85
SBSPSBGO;SAB1;A220-100;1;115
SBGOSBGR;SAB2;A220-100;1;115
SBGRSBGO;SAB2;A220-100;1;19
SBGRSBGO;SAB2;A220-100;1;115
SBSPSBGO;SAB2;A220-100;1;115
SBGOSBCF;SAB3;A220-100;1;66
SBGOSBGR;SAB3;A220-100;1;103
SBGOSBGR;SAB3;A220-100;1;31
SBGOSBSP;SAB3;A220-100;1;115
SBCFSBGO;SAB3;A220-100;1;64
SBCTSBGO;SAB3;A220-100;1;81
SBCYSBGO;SAB3;A220-100;1;85
SBGLSBGO;SAB3;A220-100;1;103
SBGRSBGO;SAB3;A220-100;1;51
SBGRSBGO;SAB3;A220-100;1;83
SBKPSBGO;SAB3;A220-100;1;105
SBPASBGO;SAB3;A220-100;1;98
SBPJSBGO;SAB3;A220-100;1;84
SBRJSBGO;SAB3;A220-100;1;77
SBSPSBGO;SAB3;A220-100;1;115
SBGOSBCF;DOM1;A220-100;1;71
SBGOSBCT;DOM1;A220-100;1;84
SBGOSBCY;DOM1;A220-100;1;90
SBGOSBGL;DOM1;A220-100;1;106
SBGOSBGR;DOM1;A220-100;1;115
SBGOSBKP;DOM1;A220-100;1;107
SBGOSBPA;DOM1;A220-100;1;103
SBGOSBPJ;DOM1;A220-100;1;85
SBGOSBRJ;DOM1;A220-100;1;88
SBGOSBSP;DOM1;A220-100;1;115
SBCFSBGO;DOM1;A220-100;1;13
SBCFSBGO;DOM1;A220-100;1;53
SBGRSBGO;DOM1;A220-100;1;25
SBGRSBGO;DOM1;A220-100;1;109
SBRJSBGO;DOM1;A220-100;1;86
SBSPSBGO;DOM1;A220-100;1;115
SBGOSBGR;DOM2;A220-100;1;19
SBGOSBGR;DOM2;A220-100;1;115
SBGOSBSP;DOM2;A220-100;1;115
SBGRSBGO;DOM2;A220-100;1;107
SBGRSBGO;DOM2;A220-100;1;27
SBSPSBGO;DOM2;A220-100;1;115
SBGOSBCF;DOM3;A220-100;1;66
SBGOSBGR;DOM3;A220-100;1;115
SBGOSBGR;DOM3;A220-100;1;19
SBGOSBRJ;DOM3;A220-100;1;13
SBGOSBRJ;DOM3;A220-100;1;74
SBGOSBSP;DOM3;A220-100;1;115
SBCFSBGO;DOM3;A220-100;1;73
SBCTSBGO;DOM3;A220-100;1;14
SBCTSBGO;DOM3;A220-100;1;65
SBCYSBGO;DOM3;A220-100;1;90
SBGLSBGO;DOM3;A220-100;1;106
SBGRSBGO;DOM3;A220-100;1;115
SBKPSBGO;DOM3;A220-100;1;107
SBPASBGO;DOM3;A220-100;1;102
SBPJSBGO;DOM3;A220-100;1;85
SBRJSBGO;DOM3;A220-100;1;88
SBSPSBGO;DOM3;A220-100;1;115
